Season,Team,Name,Games_Played,Games_Started,Minutes_Played,Goals,Assists,Shots_On_Goal,Shots,Yellow_Cards,Red_Cards,League
2013/2014,MANCHESTER UNITED,"Young, Ashley",20,13,1029,2,1,7,17,4,0,English Premier League
2013/2014,MANCHESTER UNITED,"Carrick, Michael",29,26,2413,1,0,5,17,5,0,English Premier League
2013/2014,MANCHESTER UNITED,"Cleverley, Tom",22,18,1579,1,0,5,15,3,0,English Premier League
2013/2014,MANCHESTER UNITED,"Evra, Patrice",33,33,2884,1,3,9,19,2,0,English Premier League
2013/2014,MANCHESTER UNITED,"Jones, Phil",26,26,2174,1,2,4,12,5,0,English Premier League
2013/2014,MANCHESTER UNITED,"Smalling, Chris",25,21,1938,1,0,3,12,2,0,English Premier League
2013/2014,MANCHESTER UNITED,Anderson,4,2,155,0,0,1,2,0,0,English Premier League
2013/2014,MANCHESTER UNITED,"Buttner, Alexander",8,5,497,0,0,0,5,2,0,English Premier League
2013/2014,MANCHESTER UNITED,"De Gea, David",37,37,3330,0,0,0,0,1,0,English Premier League
2013/2014,MANCHESTER UNITED,"Evans, Jonny",17,17,1377,0,0,1,7,0,0,English Premier League
2013/2014,MANCHESTER UNITED,Fabio,14,14,1092,0,0,3,10,2,0,English Premier League
2013/2014,MANCHESTER UNITED,"Fellaini, Marouane",19,15,1376,0,1,9,31,2,0,English Premier League
2013/2014,MANCHESTER UNITED,"Ferdinand, Rio",14,12,1128,0,0,0,0,0,0,English Premier League
2013/2014,MANCHESTER UNITED,"Fletcher, Darren",12,9,779,0,0,1,5,0,0,English Premier League
2013/2014,MANCHESTER UNITED,"Giggs, Ryan",12,6,503,0,0,2,5,3,0,English Premier League
2013/2014,MANCHESTER UNITED,"Kagawa, Shinji",18,14,1170,0,3,6,14,0,0,English Premier League
2013/2014,MANCHESTER UNITED,"Lawrence, Tom",1,1,70,0,0,0,2,0,0,English Premier League
2013/2014,MANCHESTER UNITED,"Lindegaard, Anders",1,1,90,0,0,0,0,0,0,English Premier League
2013/2014,MANCHESTER UNITED,Nani,11,7,560,0,0,2,16,0,0,English Premier League
2013/2014,MANCHESTER UNITED,Rafael,19,18,1418,0,1,2,8,5,0,English Premier League
2013/2014,MANCHESTER UNITED,"Vidic, Nemanja",25,23,2082,0,0,2,17,5,2,English Premier League
2013/2014,MANCHESTER UNITED,"Zaha, Wilfried",14,5,611,0,1,4,11,1,0,English Premier League
2014/2015,MANCHESTER UNITED,"Rooney, Wayne",33,33,2876,12,5,27,78,5,1,English Premier League
2014/2015,MANCHESTER UNITED,"Van Persie, Robin",27,25,2114,10,2,35,75,5,0,English Premier League
2014/2015,MANCHESTER UNITED,"Mata, Juan",33,27,2307,9,4,12,34,2,0,English Premier League
2014/2015,MANCHESTER UNITED,"Fellaini, Marouane",27,19,1830,6,0,16,35,5,1,English Premier League
2014/2015,MANCHESTER UNITED,"Herrera, Ander",26,19,1868,6,4,7,37,6,0,English Premier League
2014/2015,MANCHESTER UNITED,"Falcao, Radamel",26,14,1286,4,4,16,37,2,0,English Premier League
2014/2015,MANCHESTER UNITED,"Smalling, Chris",25,21,1879,4,0,6,15,1,1,English Premier League
2014/2015,MANCHESTER UNITED,"Welbeck, Danny",27,18,1711,4,4,22,59,3,0,English Premier League
2014/2015,MANCHESTER UNITED,"Cleverley, Tom",32,32,2610,3,0,9,24,7,0,English Premier League
2014/2015,MANCHESTER UNITED,"Di María, Ángel",27,20,1642,3,10,19,62,1,0,English Premier League
2014/2015,MANCHESTER UNITED,"Blind, Daley",25,25,2171,2,2,9,28,4,0,English Premier League
2014/2015,MANCHESTER UNITED,"Young, Ashley",26,23,2068,2,5,5,28,5,0,English Premier League
2014/2015,MANCHESTER UNITED,"Carrick, Michael",18,16,1457,1,2,4,8,1,0,English Premier League
2014/2015,MANCHESTER UNITED,"Fletcher, Darren",26,19,1714,1,0,2,10,3,0,English Premier League
2014/2015,MANCHESTER UNITED,"Wilson, James",13,2,348,1,0,4,8,3,0,English Premier League
2014/2015,MANCHESTER UNITED,Anderson,1,0,20,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Blackett, Tyler",11,6,650,0,0,0,0,3,1,English Premier League
2014/2015,MANCHESTER UNITED,"De Gea, David",37,37,3314,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Evans, Jonny",14,12,1091,0,0,0,1,1,0,English Premier League
2014/2015,MANCHESTER UNITED,"Hernández, Javier",1,1,45,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Januzaj, Adnan",18,7,850,0,0,5,25,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Jones, Phil",22,22,1879,0,0,1,3,3,0,English Premier League
2014/2015,MANCHESTER UNITED,"Keane, Michael",22,17,1641,0,1,3,12,1,0,English Premier League
2014/2015,MANCHESTER UNITED,"Lingard, Jesse",1,1,24,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"McNair, Paddy",16,12,1026,0,0,2,4,2,0,English Premier League
2014/2015,MANCHESTER UNITED,Nani,1,0,45,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Pereira, Andreas",1,0,13,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,Rafael,10,6,590,0,1,0,2,2,0,English Premier League
2014/2015,MANCHESTER UNITED,"Rojo, Marcos",22,20,1764,0,0,4,16,6,0,English Premier League
2014/2015,MANCHESTER UNITED,"Shaw, Luke",16,15,1126,0,0,1,3,1,1,English Premier League
2014/2015,MANCHESTER UNITED,"Thorpe, Tom",1,0,1,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Valdés, Víctor",2,1,106,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER UNITED,"Valencia, Antonio",32,29,2583,0,3,4,7,4,0,English Premier League
2015/2016,MANCHESTER UNITED,"Martial, Anthony",31,29,2632,11,4,25,57,2,0,English Premier League
2015/2016,MANCHESTER UNITED,"Rooney, Wayne",28,27,2410,8,6,25,72,4,0,English Premier League
2015/2016,MANCHESTER UNITED,"Mata, Juan",38,34,2898,6,5,22,57,4,1,English Premier League
2015/2016,MANCHESTER UNITED,"Rashford, Marcus",11,11,861,5,2,8,16,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Lingard, Jesse",25,19,1635,4,1,13,31,4,0,English Premier League
2015/2016,MANCHESTER UNITED,"Herrera, Ander",27,17,1532,3,2,6,24,4,0,English Premier League
2015/2016,MANCHESTER UNITED,Memphis,29,16,1474,2,0,17,57,2,0,English Premier League
2015/2016,MANCHESTER UNITED,"Blind, Daley",35,35,3117,1,1,2,4,2,0,English Premier League
2015/2016,MANCHESTER UNITED,"Darmian, Matteo",28,24,1930,1,0,1,6,8,0,English Premier League
2015/2016,MANCHESTER UNITED,"Fellaini, Marouane",18,12,1068,1,0,8,23,2,0,English Premier League
2015/2016,MANCHESTER UNITED,"Januzaj, Adnan",5,2,144,1,0,1,4,1,0,English Premier League
2015/2016,MANCHESTER UNITED,"Schneiderlin, Morgan",29,25,2204,1,0,1,11,3,0,English Premier League
2015/2016,MANCHESTER UNITED,"Schweinsteiger, Bastian",18,13,1202,1,0,3,12,3,0,English Premier League
2015/2016,MANCHESTER UNITED,"Young, Ashley",18,11,1063,1,2,3,7,5,0,English Premier League
2015/2016,MANCHESTER UNITED,"Borthwick-Jackson, Cameron",10,6,692,0,1,1,1,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Carrick, Michael",28,22,1975,0,0,1,7,4,0,English Premier League
2015/2016,MANCHESTER UNITED,"De Gea, David",34,34,3060,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Fosu-Mensah, Timothy",8,2,254,0,1,0,2,1,0,English Premier League
2015/2016,MANCHESTER UNITED,"Hernández, Chicharito",1,0,23,0,0,1,1,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Jones, Phil",10,6,528,0,0,0,1,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Keane, Will",1,0,4,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Love, Donald",1,0,53,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"McNair, Paddy",8,3,309,0,0,1,3,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Pereira, Andreas",4,0,80,0,0,0,0,2,0,English Premier League
2015/2016,MANCHESTER UNITED,"Powell, Nick",1,0,16,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Rojo, Marcos",16,15,1253,0,1,1,8,3,0,English Premier League
2015/2016,MANCHESTER UNITED,"Romero, Sergio",4,4,360,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Shaw, Luke",5,5,450,0,1,1,1,1,0,English Premier League
2015/2016,MANCHESTER UNITED,"Smalling, Chris",35,35,3150,0,1,2,18,8,0,English Premier League
2015/2016,MANCHESTER UNITED,"Valencia, Antonio",14,8,855,0,3,1,6,1,0,English Premier League
2015/2016,MANCHESTER UNITED,"Varela, Guillermo",4,3,315,0,0,0,1,1,0,English Premier League
2015/2016,MANCHESTER UNITED,"Weir, James",1,0,1,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER UNITED,"Wilson, James",1,0,8,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Ibrahimovic, Zlatan",28,27,2437,17,5,45,116,7,0,English Premier League
2016/2017,MANCHESTER UNITED,"Mata, Juan",25,19,1628,6,3,21,40,3,0,English Premier League
2016/2017,MANCHESTER UNITED,"Pogba, Paul",30,29,2608,5,4,32,93,7,0,English Premier League
2016/2017,MANCHESTER UNITED,"Rashford, Marcus",32,16,1701,5,1,17,45,3,0,English Premier League
2016/2017,MANCHESTER UNITED,"Rooney, Wayne",25,15,1539,5,5,18,51,8,0,English Premier League
2016/2017,MANCHESTER UNITED,"Martial, Anthony",25,18,1559,4,6,18,42,2,0,English Premier League
2016/2017,MANCHESTER UNITED,"Mkhitaryan, Henrikh",24,15,1350,4,1,16,32,1,0,English Premier League
2016/2017,MANCHESTER UNITED,"Blind, Daley",23,20,1829,1,2,2,9,2,0,English Premier League
2016/2017,MANCHESTER UNITED,"Fellaini, Marouane",28,18,1599,1,0,7,23,9,1,English Premier League
2016/2017,MANCHESTER UNITED,"Harrop, Joshua",1,1,90,1,0,1,2,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Herrera, Ander",31,27,2464,1,6,5,38,5,1,English Premier League
2016/2017,MANCHESTER UNITED,"Lingard, Jesse",25,18,1366,1,2,13,37,3,0,English Premier League
2016/2017,MANCHESTER UNITED,"Rojo, Marcos",21,18,1660,1,0,4,14,5,0,English Premier League
2016/2017,MANCHESTER UNITED,"Schneiderlin, Morgan",17,12,1070,1,0,3,7,2,0,English Premier League
2016/2017,MANCHESTER UNITED,"Smalling, Chris",18,13,1215,1,1,1,7,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Valencia, Antonio",28,27,2483,1,3,4,9,5,0,English Premier League
2016/2017,MANCHESTER UNITED,"Bailly, Eric",25,24,2060,0,0,1,6,4,0,English Premier League
2016/2017,MANCHESTER UNITED,"Carrick, Michael",23,18,1599,0,0,0,8,2,0,English Premier League
2016/2017,MANCHESTER UNITED,"Darmian, Matteo",18,15,1333,0,0,0,2,3,0,English Premier League
2016/2017,MANCHESTER UNITED,"De Gea, David",35,35,3150,0,0,0,0,2,0,English Premier League
2016/2017,MANCHESTER UNITED,"Fosu-Mensah, Timothy",4,1,96,0,0,0,1,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Gomes, Angel",1,0,2,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Jones, Phil",18,18,1585,0,0,1,4,2,0,English Premier League
2016/2017,MANCHESTER UNITED,"McTominay, Scott",2,1,95,0,0,1,1,1,0,English Premier League
2016/2017,MANCHESTER UNITED,Memphis,4,0,20,0,0,0,0,1,0,English Premier League
2016/2017,MANCHESTER UNITED,"Mitchell, Demetri",1,1,90,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Pereira, Joel",1,1,90,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Romero, Sergio",2,2,180,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Shaw, Luke",11,9,692,0,1,1,5,1,0,English Premier League
2016/2017,MANCHESTER UNITED,"Tuanzebe, Axel",4,4,305,0,0,0,2,0,0,English Premier League
2016/2017,MANCHESTER UNITED,"Young, Ashley",12,8,756,0,1,0,5,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Lukaku, Romelu",34,33,2869,16,7,43,86,4,0,English Premier League
2017/2018,MANCHESTER UNITED,"Martial, Anthony",30,18,1582,9,5,18,49,1,0,English Premier League
2017/2018,MANCHESTER UNITED,"Sánchez, Alexis",31,29,2553,9,6,35,88,5,0,English Premier League
2017/2018,MANCHESTER UNITED,"Lingard, Jesse",33,20,1823,8,5,23,57,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Rashford, Marcus",35,17,1806,7,5,21,62,3,0,English Premier League
2017/2018,MANCHESTER UNITED,"Pogba, Paul",27,25,2151,6,10,19,76,5,1,English Premier League
2017/2018,MANCHESTER UNITED,"Fellaini, Marouane",16,5,612,4,0,7,10,1,0,English Premier League
2017/2018,MANCHESTER UNITED,"Smalling, Chris",29,28,2535,4,0,6,13,4,0,English Premier League
2017/2018,MANCHESTER UNITED,"Mata, Juan",28,23,1930,3,5,11,29,1,0,English Premier League
2017/2018,MANCHESTER UNITED,"Mkhitaryan, Henrikh",26,20,1727,3,9,16,36,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Valencia, Antonio",31,31,2742,3,1,3,16,7,0,English Premier League
2017/2018,MANCHESTER UNITED,"Young, Ashley",30,28,2445,2,4,4,18,7,0,English Premier League
2017/2018,MANCHESTER UNITED,"Bailly, Eric",13,11,1000,1,0,1,3,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Matic, Nemanja",36,35,3119,1,1,3,18,6,0,English Premier League
2017/2018,MANCHESTER UNITED,"Blind, Daley",7,4,361,0,0,0,3,0,0,English Premier League
2017/2018,MANCHESTER UNITED,"Carrick, Michael",2,1,109,0,0,1,2,0,0,English Premier League
2017/2018,MANCHESTER UNITED,"Darmian, Matteo",8,5,444,0,0,0,2,0,0,English Premier League
2017/2018,MANCHESTER UNITED,"De Gea, David",37,37,3330,0,0,0,0,0,0,English Premier League
2017/2018,MANCHESTER UNITED,"Herrera, Ander",26,13,1260,0,2,1,12,5,0,English Premier League
2017/2018,MANCHESTER UNITED,"Ibrahimovic, Zlatan",5,1,102,0,0,1,4,0,0,English Premier League
2017/2018,MANCHESTER UNITED,"Jones, Phil",23,23,1975,0,0,0,2,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Lindelof, Victor",17,13,1284,0,0,0,1,1,0,English Premier League
2017/2018,MANCHESTER UNITED,"McTominay, Scott",13,7,629,0,0,0,1,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Rojo, Marcos",9,8,640,0,0,1,5,6,0,English Premier League
2017/2018,MANCHESTER UNITED,"Romero, Sergio",1,1,90,0,0,0,0,0,0,English Premier League
2017/2018,MANCHESTER UNITED,"Shaw, Luke",11,8,788,0,0,4,11,2,0,English Premier League
2017/2018,MANCHESTER UNITED,"Tuanzebe, Axel",1,0,1,0,0,0,0,0,0,English Premier League
2013/2014,MANCHESTER CITY,"Touré, Yaya",35,35,2927,20,9,27,65,4,0,English Premier League
2013/2014,MANCHESTER CITY,"Agüero, Sergio",23,20,1539,17,6,43,86,4,0,English Premier League
2013/2014,MANCHESTER CITY,"Dzeko, Edin",31,23,1991,16,1,39,105,4,0,English Premier League
2013/2014,MANCHESTER CITY,"Negredo, Álvaro",32,21,1725,9,3,26,65,1,0,English Premier League
2013/2014,MANCHESTER CITY,"Nasri, Samir",34,29,2498,7,7,16,48,3,0,English Premier League
2013/2014,MANCHESTER CITY,"Silva, David",27,26,2173,7,9,13,54,5,0,English Premier League
2013/2014,MANCHESTER CITY,Fernandinho,33,29,2608,5,3,11,37,8,0,English Premier League
2013/2014,MANCHESTER CITY,"Kompany, Vincent",28,28,2365,4,1,7,18,6,1,English Premier League
2013/2014,MANCHESTER CITY,"Navas, Jesús",30,18,1774,4,7,10,33,0,0,English Premier League
2013/2014,MANCHESTER CITY,"Jovetic, Stevan",13,2,360,3,1,11,23,1,0,English Premier League
2013/2014,MANCHESTER CITY,"Demichelis, Martín",27,27,2430,2,1,5,15,6,0,English Premier League
2013/2014,MANCHESTER CITY,"Kolarov, Aleksandar",30,21,1970,1,7,14,53,2,0,English Premier League
2013/2014,MANCHESTER CITY,"Milner, James",31,12,1358,1,4,6,25,3,0,English Premier League
2013/2014,MANCHESTER CITY,"Zabaleta, Pablo",35,34,3079,1,6,2,18,11,0,English Premier League
2013/2014,MANCHESTER CITY,"Boyata, Dedryck",1,1,55,0,0,0,1,0,0,English Premier League
2013/2014,MANCHESTER CITY,"Clichy, Gael",20,18,1660,0,0,0,1,1,0,English Premier League
2013/2014,MANCHESTER CITY,"García, Javi",29,14,1527,0,0,5,10,7,0,English Premier League
2013/2014,MANCHESTER CITY,"Hart, Joe",31,31,2790,0,0,0,0,1,0,English Premier League
2013/2014,MANCHESTER CITY,"Lescott, Joleon",10,8,784,0,0,1,6,0,0,English Premier League
2013/2014,MANCHESTER CITY,"Nastasic, Matija",13,11,1027,0,0,2,5,4,0,English Premier League
2013/2014,MANCHESTER CITY,"Pantilimon, Costel",7,7,630,0,0,0,0,1,0,English Premier League
2013/2014,MANCHESTER CITY,"Richards, Micah",2,2,161,0,0,1,1,0,0,English Premier League
2013/2014,MANCHESTER CITY,"Rodwell, Jack",5,1,109,0,0,0,2,0,0,English Premier League
2014/2015,MANCHESTER CITY,"Agüero, Sergio",33,30,2538,26,8,63,147,4,0,English Premier League
2014/2015,MANCHESTER CITY,"Silva, David",32,32,2659,12,7,27,66,8,0,English Premier League
2014/2015,MANCHESTER CITY,"Bony, Wilfried",30,18,1598,11,3,34,88,3,1,English Premier League
2014/2015,MANCHESTER CITY,"Touré, Yaya",29,27,2355,10,1,26,89,5,0,English Premier League
2014/2015,MANCHESTER CITY,"Lampard, Frank",32,10,989,6,1,13,32,1,0,English Premier League
2014/2015,MANCHESTER CITY,"Jovetic, Stevan",17,9,787,5,3,12,38,0,0,English Premier League
2014/2015,MANCHESTER CITY,"Milner, James",32,18,1742,5,7,11,39,6,0,English Premier League
2014/2015,MANCHESTER CITY,"Dzeko, Edin",22,11,933,4,2,13,44,1,0,English Premier League
2014/2015,MANCHESTER CITY,Fernandinho,33,25,2273,3,3,8,23,7,0,English Premier League
2014/2015,MANCHESTER CITY,Fernando,25,22,1880,2,2,2,10,6,0,English Premier League
2014/2015,MANCHESTER CITY,"Kolarov, Aleksandar",21,16,1486,2,3,8,27,4,0,English Premier League
2014/2015,MANCHESTER CITY,"Nasri, Samir",24,18,1578,2,6,10,34,5,0,English Premier League
2014/2015,MANCHESTER CITY,"Clichy, Gael",23,23,2058,1,3,2,8,1,0,English Premier League
2014/2015,MANCHESTER CITY,"Demichelis, Martín",31,28,2559,1,0,1,7,6,0,English Premier League
2014/2015,MANCHESTER CITY,"Sinclair, Scott",11,5,464,1,0,3,7,0,0,English Premier League
2014/2015,MANCHESTER CITY,"Zabaleta, Pablo",29,29,2586,1,4,2,12,6,1,English Premier League
2014/2015,MANCHESTER CITY,"Boyata, Dedryck",2,1,91,0,0,0,0,1,0,English Premier League
2014/2015,MANCHESTER CITY,"Caballero, Willy",2,2,180,0,0,0,0,0,0,English Premier League
2014/2015,MANCHESTER CITY,"Hart, Joe",36,36,3240,0,0,0,0,1,0,English Premier League
2014/2015,MANCHESTER CITY,"Kompany, Vincent",25,23,2033,0,0,0,6,7,0,English Premier League
2014/2015,MANCHESTER CITY,"Mangala, Eliaquim",25,24,2189,0,2,3,14,3,1,English Premier League
2014/2015,MANCHESTER CITY,"Navas, Jesús",35,23,2248,0,8,17,45,3,0,English Premier League
2014/2015,MANCHESTER CITY,"Pozo, José Ángel",3,1,137,0,0,2,3,0,0,English Premier League
2014/2015,MANCHESTER CITY,"Sagna, Bacary",9,8,740,0,0,0,1,1,0,English Premier League
2015/2016,MANCHESTER CITY,"Agüero, Sergio",30,29,2373,24,2,50,118,1,0,English Premier League
2015/2016,MANCHESTER CITY,"Iheanacho, Kelechi",26,7,751,8,1,12,28,1,0,English Premier League
2015/2016,MANCHESTER CITY,"De Bruyne, Kevin",25,22,2003,7,9,25,48,2,0,English Premier League
2015/2016,MANCHESTER CITY,"Sterling, Raheem",31,23,1925,6,2,22,52,1,0,English Premier League
2015/2016,MANCHESTER CITY,"Touré, Yaya",32,28,2331,6,5,24,77,3,0,English Premier League
2015/2016,MANCHESTER CITY,"Bony, Wilfried",26,13,1223,4,3,17,59,1,0,English Premier League
2015/2016,MANCHESTER CITY,"Kolarov, Aleksandar",29,25,2281,3,3,10,39,3,0,English Premier League
2015/2016,MANCHESTER CITY,"Delph, Fabian",17,8,753,2,0,5,13,0,0,English Premier League
2015/2016,MANCHESTER CITY,Fernandinho,33,31,2732,2,2,4,29,8,0,English Premier League
2015/2016,MANCHESTER CITY,Fernando,24,17,1713,2,0,5,15,4,0,English Premier League
2015/2016,MANCHESTER CITY,"Kompany, Vincent",14,13,1179,2,0,3,11,5,0,English Premier League
2015/2016,MANCHESTER CITY,"Nasri, Samir",12,4,535,2,2,7,14,3,0,English Premier League
2015/2016,MANCHESTER CITY,"Silva, David",24,22,1800,2,11,4,29,1,0,English Premier League
2015/2016,MANCHESTER CITY,"Otamendi, Nicolás",30,30,2672,1,0,8,27,9,0,English Premier League
2015/2016,MANCHESTER CITY,"Caballero, Willy",4,3,310,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER CITY,"Celina, Bersant",1,0,13,0,1,0,0,0,0,English Premier League
2015/2016,MANCHESTER CITY,"Clichy, Gael",14,12,1088,0,1,0,2,0,0,English Premier League
2015/2016,MANCHESTER CITY,"Demichelis, Martín",20,10,1015,0,0,0,6,3,0,English Premier League
2015/2016,MANCHESTER CITY,"García, Manu",1,0,10,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER CITY,"Hart, Joe",35,35,3110,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER CITY,"Mangala, Eliaquim",23,23,2010,0,0,1,7,8,0,English Premier League
2015/2016,MANCHESTER CITY,"Navas, Jesús",34,24,2279,0,7,8,30,1,0,English Premier League
2015/2016,MANCHESTER CITY,"Roberts, Patrick",1,0,4,0,0,0,0,0,0,English Premier League
2015/2016,MANCHESTER CITY,"Sagna, Bacary",28,27,2448,0,3,2,5,4,0,English Premier League
2015/2016,MANCHESTER CITY,"Zabaleta, Pablo",13,12,1062,0,1,1,3,3,0,English Premier League
2016/2017,MANCHESTER CITY,"Agüero, Sergio",31,25,2403,20,3,54,139,4,1,English Premier League
2016/2017,MANCHESTER CITY,Gabriel Jesus,10,8,651,7,4,13,24,2,0,English Premier League
2016/2017,MANCHESTER CITY,"Sterling, Raheem",33,29,2515,7,6,24,64,7,0,English Premier League
2016/2017,MANCHESTER CITY,"De Bruyne, Kevin",36,33,2883,6,18,19,85,4,0,English Premier League
2016/2017,MANCHESTER CITY,"Sané, Leroy",26,20,1785,5,3,14,33,4,0,English Premier League
2016/2017,MANCHESTER CITY,"Touré, Yaya",25,22,1947,5,0,15,32,4,0,English Premier League
2016/2017,MANCHESTER CITY,"Iheanacho, Kelechi",20,5,525,4,3,7,22,0,0,English Premier League
2016/2017,MANCHESTER CITY,Nolito,19,9,778,4,2,11,31,3,1,English Premier League
2016/2017,MANCHESTER CITY,"Silva, David",34,31,2766,4,7,17,48,6,0,English Premier League
2016/2017,MANCHESTER CITY,"Gundogan, Ilkay",10,9,709,3,1,4,17,0,0,English Premier League
2016/2017,MANCHESTER CITY,"Kompany, Vincent",11,10,823,3,0,3,9,5,0,English Premier League
2016/2017,MANCHESTER CITY,Fernandinho,32,31,2754,2,1,11,36,4,2,English Premier League
2016/2017,MANCHESTER CITY,"Clichy, Gael",25,24,2125,1,0,1,2,2,0,English Premier League
2016/2017,MANCHESTER CITY,"Delph, Fabian",7,2,220,1,0,2,6,1,0,English Premier League
2016/2017,MANCHESTER CITY,"Kolarov, Aleksandar",29,27,2533,1,1,10,32,6,0,English Premier League
2016/2017,MANCHESTER CITY,"Otamendi, Nicolás",30,29,2592,1,1,3,15,9,0,English Premier League
2016/2017,MANCHESTER CITY,"Zabaleta, Pablo",20,11,1059,1,1,2,7,2,0,English Premier League
2016/2017,MANCHESTER CITY,"Bravo, Claudio",22,22,1969,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER CITY,"Caballero, Willy",17,16,1451,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER CITY,Fernando,15,5,560,0,0,0,2,3,0,English Premier League
2016/2017,MANCHESTER CITY,"García, Aleix",4,1,76,0,0,0,0,0,0,English Premier League
2016/2017,MANCHESTER CITY,"Nasri, Samir",1,0,15,0,0,1,3,0,0,English Premier League
2016/2017,MANCHESTER CITY,"Navas, Jesús",24,12,1059,0,0,2,8,2,0,English Premier League
2016/2017,MANCHESTER CITY,"Sagna, Bacary",17,14,1345,0,1,0,4,2,0,English Premier League
2016/2017,MANCHESTER CITY,"Stones, John",27,23,2013,0,0,2,12,1,0,English Premier League
2017/2018,MANCHESTER CITY,"Agüero, Sergio",25,22,1969,21,6,42,95,2,0,English Premier League
2017/2018,MANCHESTER CITY,"Sterling, Raheem",33,29,2592,18,11,36,89,3,1,English Premier League
2017/2018,MANCHESTER CITY,Gabriel Jesus,29,19,1671,13,3,31,53,6,0,English Premier League
2017/2018,MANCHESTER CITY,"Sané, Leroy",32,27,2422,10,15,20,56,4,0,English Premier League
2017/2018,MANCHESTER CITY,"Silva, David",29,28,2435,9,11,20,53,5,0,English Premier League
2017/2018,MANCHESTER CITY,"De Bruyne, Kevin",37,36,3084,8,16,39,93,2,0,English Premier League
2017/2018,MANCHESTER CITY,"Silva, Bernardo",35,15,1520,6,4,14,26,0,0,English Premier League
2017/2018,MANCHESTER CITY,Fernandinho,34,33,2885,5,3,20,48,7,0,English Premier League
2017/2018,MANCHESTER CITY,"Gundogan, Ilkay",30,15,1510,4,1,11,35,3,0,English Premier League
2017/2018,MANCHESTER CITY,"Otamendi, Nicolás",34,33,2968,4,0,10,32,9,0,English Premier League
2017/2018,MANCHESTER CITY,Danilo,23,13,1341,3,2,7,19,2,0,English Premier League
2017/2018,MANCHESTER CITY,"Delph, Fabian",22,21,1746,1,2,2,9,2,0,English Premier League
2017/2018,MANCHESTER CITY,"Kompany, Vincent",17,17,1396,1,1,2,9,6,0,English Premier League
2017/2018,MANCHESTER CITY,"Bravo, Claudio",3,2,225,0,0,0,0,0,0,English Premier League
2017/2018,MANCHESTER CITY,"Díaz, Brahim",5,0,50,0,0,1,3,0,0,English Premier League
2017/2018,MANCHESTER CITY,Ederson Moraes,36,36,3195,0,0,0,0,1,0,English Premier League
2017/2018,MANCHESTER CITY,"Foden, Phil",5,0,45,0,1,0,0,0,0,English Premier League
2017/2018,MANCHESTER CITY,"Laporte, Aymeric",9,9,807,0,0,0,3,1,0,English Premier League
2017/2018,MANCHESTER CITY,"Mangala, Eliaquim",11,6,618,0,0,0,2,0,0,English Premier League
2017/2018,MANCHESTER CITY,"Mendy, Benjamin",7,4,361,0,1,1,5,2,0,English Premier League
2017/2018,MANCHESTER CITY,"Nmecha, Lukas",2,0,14,0,0,0,0,0,0,English Premier League
2017/2018,MANCHESTER CITY,"Stones, John",18,16,1306,0,0,4,11,0,0,English Premier League
